Member,Mass,Width,Length,Thick.,Top,Bottom,Dia.,Flange,Web,Moment,Moment.1,Shear,Moment (%),Shear (%)
200UB,18.2,130,350,16,4,4,16,8,5,52,52,92,100,50
200UB,22.3,180,390,20,4,4,20,8,5,65,65,105,100,50
200UB,25.4,180,390,20,4,4,20,8,6,75,75,122,100,50
200UB,29.8,180,390,20,4,4,20,10,6,91,91,135,100,50
250UB,25.7,180,430,20,4,4,20,8,6,92,92,129,100,50
250UB,31.4,180,440,20,4,4,20,8,6,114,114,159,100,50
250UB,37.3,180,470,25,4,4,24,10,6,140,140,170,100,50
310UB,32.0,180,480,20,4,4,20,8,6,134,134,170,100,50
310UB,40.4,180,520,25,4,4,24,10,6,182,182,192,100,50
310UB,46.2,180,520,25,4,4,24,10,6,197,197,213,100,50
360UB,44.7,200,570,25,4,4,24,10,8,222,222,252,100,50
360UB,50.7,200,570,25,4,4,24,10,8,242,242,269,100,50
360UB,56.7,200,570,25,4,4,24,12,8,271,271,298,100,50
410UB,53.7,200,620,25,4,4,24,10,8,305,305,317,100,50
410UB,59.7,200,620,25,6,4,24,12,8,324,304,328,100,50
460UB,67.1,200,670,25,6,4,24,12,8,400,343,399,100,50
460UB,74.6,200,670,32,4,6,24,BW,10,448,366,431,100,50
460UB,82.1,250,700,32,6,4,30,BW,10,497,497,473,100,50
530UB,82.0,250,740,25,4,6,24,12,10,556,423,526,100,50
530UB,92.4,250,780,32,4,6,30,BW,10,640,622,564,100,50
610UB,101.0,250,850,32,4,6,30,BW,10,783,708,662,100,50
610UB,113.0,250,850,32,4,6,30,BW,10,829,714,661,100,50
610UB,125.0,270,860,32,4,6,30,BW,10,927,738,708,100,50
310UC,96.8,320,550,32,4,4,36,BW,12,421,421,316,100,50
310UC,118.0,320,560,32,4,4,36,BW,10,494,494,364,100,50
310UC,137.0,320,570,40,4,4,36,BW,12,576,576,431,100,50
700WB,115.0,270,940,32,4,6,30,BW,10,1023,840,663,100,50
700WB,130.0,270,940,32,6,4,36,BW,10,1212,1094,663,100,50
700WB,150.0,270,950,32,6,4,36,BW,10,1353,1109,663,100,50
700WB,173.0,300,960,36,4,6,36,BW,10,1610,1234,663,100,50
800WB,122.0,270,1040,32,4,6,36,BW,10,1223,1223,763,100,50
800WB,146.0,300,1040,32,4,6,36,BW,10,1547,1291,763,100,50
800WB,168.0,300,1050,32,4,6,36,BW,10,1724,1307,763,100,50
800WB,192.0,310,1060,40,4,6,36,BW,10,2031,1532,763,100,50
900WB,175.0,310,1140,40,6,6,36,BW,12,2025,2025,1037,100,50
900WB,218.0,360,1150,45,6,6,36,BW,12,2510,2510,1037,100,50
1000WB,215.0,310,1240,40,6,6,36,BW,BW,2584,2584,1310,100,50
200UB,18.2,130,350,16,4,4,16,5,8,52,52,92,50,25
200UB,22.3,150,360,16,4,4,16,5,8,65,65,105,50,25
200UB,25.4,150,360,16,4,4,16,6,8,65,65,122,50,25
200UB,29.8,150,360,16,4,4,16,10,6,67,67,135,50,25
250UB,25.7,150,400,16,4,4,16,6,8,81,81,129,50,25
250UB,31.4,180,410,16,4,4,16,6,8,85,85,159,50,25
250UB,37.3,180,410,16,4,4,16,10,6,87,87,170,50,25
310UB,32.0,180,450,16,4,4,16,6,8,102,102,170,50,25
310UB,40.4,180,460,16,4,4,16,10,6,105,105,192,50,25
310UB,46.2,180,490,20,4,4,20,10,6,167,167,213,50,25
360UB,44.7,200,540,16,4,4,20,10,8,176,176,252,50,25
360UB,50.7,200,540,16,4,4,20,10,8,178,178,269,50,25
